id,conName,start_date,end_date,year,event_location,city,state,state_abrev,country,website
139,Peli Con ,2024-04-13,2024-04-13,2024,William H. Scott Civic Center,New Roads,Louisiana,LA,USA,https://www.marvelouscomiccloset.com/pelicon
140,QuadCon St. Cloud ,2024-04-13,2024-04-14,2024,Crossroads Center,St. Cloud,Minnesota,MN,USA,https://quadcitycon.com/
141,Yellow City Comic Convention ,2024-04-19,2024-04-21,2024,Amarillo Civic Center Complex,Amarillo,Texas,TX,USA,https://yellowcitycon.com/
142,Mid Valley Comic Art Expo ,2024-04-20,2024-04-21,2024,State Fair & Exposition Center - Columbia Hall,Salem,Oregon,OR,USA,https://mvcae.com/
143,HCLS Fan Fest ,2024-04-21,2024-04-21,2024,Bay St Louis Community Hall,Bay St Louis,Mississippi,MS,USA,https://hcls.info/fan-fest
144,Kingston ComiCon ,2024-04-21,2024-04-21,2024,Royal Canadian Legion Branch 560,Kingston,Ontario,ON,Canada,https://www.popculturecanada.ca/
145,Calgary Expo ,2027-04-22,2027-04-25,2027,Stampede Park,Calgary,Alberta,AB,Canada,https://fanexpohq.com/calgaryexpo/
146,Lvl Up Expo ,2024-04-26,2024-04-28,2024,Las Vegas Convention Center,Las Vegas,Nevada,NV,USA,https://lvlupexpo.com/
147,Four State Comic-Con ,2024-04-27,2024-04-28,2024,Hagerstown Community College ARCC,Hagerstown,Maryland,MD,USA,www.fourstatecon.com/
148,Fan Expo Philadelphia ,2026-05-29,2026-05-31,2026,Philadelphia Convention Center,Philadelphia PA,Pennsylvania,PA,US,https://fanexpohq.com/fanexpophiladelphia/
149,Metrotham Con ,2024-05-17,2024-05-19,2024,Chattanooga Convention Center,Chattanooga,Tennessee,TN,USA,https://metrothamcon.com/
150,"Eckman's Card, Comic & Toy Show ",2024-05-18,2024-05-18,2024,San Antonio Shrine Auditorium,San Antonio,Texas,TX,USA,https://eckmanstoyshow.com/
151,Comic Con Revolution ,2024-05-18,2024-05-19,2024,Ontario Convention Center,Ontario,California,CA,USA,www.comicconrevolution.com/ontario/
152,Thy Geekdom Con ,2024-05-24,2024-05-26,2024,The Greater Philadelphia Expo Center,Oaks,Pennsylvania,PA,USA,https://thygeekdomcon.com/
153,RochesterCon ,2024-05-26,2024-05-26,2024,DoubleTree Hotel,Rochester,New York,NY,USA,http://www.therochestercon.com/
154,3 Rivers Comicon ,2024-06-01,2024-06-02,2024,David L. Lawrence Convention Center,Pittsburgh,Pennsylvania,PA,USA,https://3riverscomicon.com/
155,Fan Expo Dallas ,2026-09-11,2026-09-13,2026,Kay Bailey Hutchison Convention Center,Dallas TX,Texas,TX,US,https://fanexpohq.com/fanexpodallas/
156,Washington State Summer Con ,2024-06-21,2024-06-23,2024,Washington State Fair and Events Center,Puyallup,Washington,WA,USA,https://www.wasummercon.com/
157,Kelowna ComiCon ,2024-06-22,2024-06-23,2024,Capital News Centre,Kelowna,British Columbia,BC,Canada,www.kelownacomicon.com/
158,Shenanicon ,2024-06-22,2024-06-23,2024,Embassy Suites,Parsippany-Troy Hills,New Jersey,NJ,USA,shenanicon.com/
159,Fan Expo Boston ,2026-08-07,2026-08-09,2026,Boston Convention and Exhibition Center,Boston MA,Massachusetts,MA,US,https://fanexpohq.com/fanexpoboston/
160,Hershey Comic Con ,2024-06-29,2024-06-30,2024,Holiday Inn Harrisburg (Hershey Area),Grantville,Pennsylvania,PA,USA,https://hersheycomiccon.weebly.com/
161,Fan Expo Denver ,2026-05-28,2026-05-31,2026,Colorado Convention Center,Denver CO,Colorado,CO,US,https://fanexpohq.com/fanexpodenver/
162,Infinity Con Tallahassee ,2024-07-06,2024-07-07,2024,Donald L. Tucker Civic Center,Tallahassee,Florida,FL,USA,https://www.infinitycon.com/tally
163,NiagaraCon ,2024-07-27,2024-07-27,2024,Sheraton Niagara Falls,Niagara Falls,New York,NY,USA,http://theniagaracon.com/
164,Wicked Comic Con ,2024-08-10,2024-08-11,2024,The Westin Boston Seaport District,Boston,Massachusetts,MA,USA,https://www.wickedcomiccon.com/
165,Fan Expo Chicago ,2026-08-14,2026-08-16,2026,Donald E. Stephens Convention Center,Chicago IL,Illinois,IL,US,https://fanexpohq.com/fanexpochicago/
166,Collingwood ComiCon ,2024-08-17,2024-08-17,2024,Royal Canadian Legion Branch 63,Collingwood,Ontario,ON,Canada,https://www.popculturecanada.ca/
167,Las Cruces Comic Con ,2024-08-17,2024-08-18,2024,Las Cruces Convention Center,Las Cruces,New Mexico,NM,USA,lascrucescomiccon.com/
168,Fan Expo Canada ,2026-08-22,2026-08-25,2026,Metro Toronto Convention Centre,Toronto,Ontario,ON,Canada,https://fanexpohq.com/fanexpocanada/
169,Hub City Comic Con ,2024-08-23,2024-08-25,2024,Lubbock Memorial Civic Center,Lubbock,Texas,TX,USA,https://hubcitycomiccon.com/
170,Harrisburg Comic & Pop Con ,2024-08-24,2024-08-26,2024,Farm Show Complex - Giant Expo Hall,Harrisburg,Pennsylvania,PA,USA,https://www.fourstatecon.com/harrisburg
171,Comic Con Northern Ireland ,2024-09-07,2024-09-08,2024,Eikon Exhibition Centre,Lisburn,Northern Ireland,---,United Kingdom,www.comicconnorthernireland.co.uk/
172,Ultracon ,2024-09-20,2024-09-22,2024,Expo Center at the South Florida Fairgrounds,West Palm Beach,Florida,FL,USA,ultraconcity.com/
173,Kingston ComiCon ,2024-09-22,2024-09-22,2024,Royal Canadian Legion Branch 560,Kingston,Ontario,ON,Canada,https://www.popculturecanada.ca/
174,The Uncanny Experience ,2024-09-28,2024-09-29,2024,Minneapolis Club,Minneapolis,Minnesota,MN,USA,https://theuncannyexperience.com/
175,"Eckman's Card, Comic & Toy Show ",2024-10-12,2024-10-12,2024,San Antonio Shrine Auditorium,San Antonio,Texas,TX,USA,https://eckmanstoyshow.com/
176,Alamo City Comic Con,2024-05-03,2024-05-05,2024,Alamodome,San Antonio,Texas,TX,USA,alamocitycomiccon.com/
177,Baltimore Comic-Con,2024-09-20,2024-09-22,2024,The Baltimore Convention Center,Baltimore,Maryland,MD,USA,https://baltimorecomiccon.com/
178,Big Apple Comic Con,2023-12-16,2023-12-16,2023,The New Yorker Hotel,New York City,New York,NY,USA,https://bigapplecc.com/
179,Chicago Comic & Entertainment Expo,2027-04-26,2027-04-28,2027,Mccormick Place,Chicago,Illinois,IL,USA,www.c2e2.com/
180,Comicpalooza,2024-05-24,2024-05-26,2024,George R. Brown Convention Center,Houston,Texas,TX,USA,https://www.comicpalooza.com/
181,Dallas Comic Con,2026-09-11,2026-09-13,2026,Kay Bailey Hutchison Convention Center,Dallas TX,Texas,TX,US,https://fanexpohq.com/fanexpodallas/
182,Denver Pop Culture Con,2026-05-28,2026-05-31,2026,Colorado Convention Center,Denver CO,Colorado,CO,US,https://fanexpohq.com/fanexpodenver/
183,Dragon Con,2024-08-29,2024-09-02,2024,Americasmart Convention Center,Atlanta,Georgia,GA,USA,www.dragoncon.org/
184,East Coast Black Age of Comics Convention,**,**,2024,Temple University,Philadelphia,Pennsylvania,PA,USA,https://ecbacc2025.powerappsportals.com
185,East Coast Comicon,**,**,2024,Meadowlands Exposition Center,Secaucus,New Jersey,NJ,USA,eastcoastcomicon.com
186,Emerald City Comic Con,2024-02-29,2024-03-03,2024,Seattle Convention Center,Seattle,Washington,WA,USA,www.emeraldcitycomiccon.com/
187,Fan Expo Boston,2026-08-07,2026-08-09,2026,Boston Convention & Exhibition Center,Boston MA,Massachusetts,MA,US,https://fanexpohq.com/fanexpoboston/
188,FanX,2024-09-26,2024-09-28,2024,Salt Palace Convention Center,Salt Lake City,Utah,UT,USA,fanxsaltlake.com/
189,Heroes Convention,2024-06-14,2024-06-16,2024,Charlotte Convention Center,Charlotte,North Carolina,NC,USA,https://www.heroesonline.com/heroescon/
190,L.A. Comic Con,2024-12-01,2024-12-03,2024,Los Angeles Convention Center,Los Angeles,California,CA,USA,comicconla.com/
191,MegaCon,2027-05-20,2027-05-23,2027,Orange County Convention Center,Orlando,Florida,FL,USA,https://fanexpohq.com/megaconorlando/
192,Memphis Comic and Fantasy Convention,2023-11-10,2023-11-12,2023,Holiday In At The University Of Mephis,Memphis,Tennessee,TN,USA,https://memphiscfc.com/
193,Motor City Comic Con,2023-11-10,2023-11-12,2023,Suburban Collection Showplace,Novi,Michigan,MI,USA,https://motorcitycomiccon.com/
194,New York Comic Con,2024-10-17,2024-10-20,2024,Javitis Center,New York City,New York,NY,USA,www.newyorkcomiccon.com/
195,Pensacola Comic Convention,2023-09-23,2023-09-24,2023,Pensacola Interstate Fair Expo Hall,Pensacola,Florida,FL,USA,www.pensacolaparacon.com
196,Phoenix Fan Fusion,2024-05-24,2024-05-26,2024,Phoenix Convention Center,Phoenix,Arizona,AZ,USA,https://www.phoenixfanfusion.com/
197,Pittsburgh Comicon,2023-12-08,2023-12-10,2023,Monroeville Convention Center,Monroeville,Pennsylvania,PA,USA,https://www.steelcitycon.com/
198,Planet Comicon Kansas City,2024-03-08,2024-03-10,2024,Kansas City Convention Center,Kansas City,Missouri,MO,USA,planetcomicon.com//
199,PopCon Indy,2024-04-26,2024-04-28,2024,Indiana Convention Center,Indianapolis,Indiana,IN,USA,https://popcon.us/popcon-indy/
200,Rhode Island Comic Con,2023-11-03,2023-11-05,2023,Convention Center / Amica Mutual Pavilion,Providence,Rhode Island,RI,USA,https://www.ricomiccon.com
201,Rose City Comic Con,2024-09-06,2024-09-08,2024,Oregon Convention Center,Portland,Oregon,OR,USA,https://rosecitycomiccon.com/
202,San Diego Comic-Con,2024-07-25,2024-07-28,2024,San Diego Convention Center,San Diego,California,CA,USA,https://www.comic-con.org/
203,Silicon Valley Comic Con,**,**,2024,San Jose Convention Center,San Jose,California,CA,USA,https://siliconsj.com/silicon-2023/
